Date,Open,High,Low,Close,Volume
1989-06-13,33464,33556,33135,33214,0
1989-06-14,33235,33408,33018,33403,0
1989-06-15,33467,33525,32913,32913,0
1989-06-16,32951,33195,32606,33055,0
1989-06-19,33039,33051,32858,33013,0
1989-06-20,33014,33283,33008,33233,0
1989-06-21,33241,33377,33177,33345,0
1989-06-22,33341,33427,33262,33325,0
1989-06-23,33398,33702,33398,33531,0
1989-06-26,33565,33693,33525,33626,0
1989-06-27,33622,33646,33445,33469,0
1989-06-28,33431,33431,32952,33246,0
1989-06-29,33198,33223,32923,32956,0
1989-06-30,32919,32950,32642,32949,0
1989-07-03,32895,33236,32697,33236,0
1989-07-04,33268,33280,33181,33190,0
1989-07-05,33221,33358,33221,33310,0
1989-07-06,33348,33516,33348,33423,0
1989-07-07,33480,33714,33480,33704,0
1989-07-10,33719,33843,33629,33676,0
1989-07-11,33689,33799,33665,33747,0
1989-07-12,33767,33816,33693,33702,0
1989-07-13,33733,33778,33628,33631,0
1989-07-14,33666,33699,33539,33575,0
1989-07-17,33585,33594,33415,33456,0
1989-07-18,33459,33465,33309,33344,0
1989-07-19,33344,33558,33344,33557,0
1989-07-20,33598,33701,33584,33665,0
1989-07-21,33689,33971,33619,33899,0
1989-07-24,33912,34095,33867,34093,0
1989-07-25,34156,34543,34156,34539,0
1989-07-26,34586,34771,34511,34516,0
1989-07-27,34539,34788,34539,34785,0
1989-07-28,34824,34946,34686,34706,0
1989-07-31,34723,34955,34723,34954,0
1989-08-01,34950,34964,34767,34898,0
1989-08-02,34894,35016,34851,34899,0
1989-08-03,34889,34930,34699,34780,0
1989-08-04,34747,34747,34660,34742,0
1989-08-07,34737,34759,34556,34630,0
1989-08-08,34616,34761,34531,34759,0
1989-08-09,34764,34861,34737,34859,0
1989-08-10,34843,34911,34709,34720,0
1989-08-11,34729,34832,34625,34713,0
1989-08-14,34693,34725,34590,34672,0
1989-08-15,34660,34813,34632,34811,0
1989-08-16,34819,35086,34819,35084,0
1989-08-17,35122,35192,34986,35090,0
1989-08-18,35104,35126,34951,35063,0
1989-08-21,35097,35191,35068,35141,0
1989-08-22,35115,35158,35011,35114,0
1989-08-23,35111,35179,34849,34893,0
1989-08-24,34903,34958,34663,34787,0
